"","dwc:catalogNumber","FLORACODE","dwc:samplingProtocol","SURVEYNAME","dwc:eventDate","DATEACCURACY","Date Accuracy Range","dwc:identifiedBy","dwc:individualCount","MUSEUMHERBMNR","RELIABDESC","AMGZONE","EASTING","NORTHING","dwc:decimalLatitude","dwc:decimalLongitude"," dwc:identificationVerificationStatus","dwc:scientificName","dwc:family","dwc:vernacularName","dwc:fieldNotes","dwc:Habitat","dwc:georeferenceRemarks","dwc:SamplingLocationRemarks","ISINDIGENOUSFLAG"
"799","SUP15278-9","SUP15278-9","SU","UPPER MID NORTH",1996-10-23,"D","Day","GRAHAM K.L. Kate | BARNES M.K. Merrilyn","present but not counted","","5-50m",54,292998,6400426,-32.5142,138.79631,"verified","Maireana turbinata","CHENOPODIACEAE","Top-fruit Bluebush","","","Take the Orroroo - Minburra road and drive approx 27km until you reach an intersection of 3 vehicle tracks. Continue for approx 1km and the site is located on the western side of the road - look for a large Euc. longifolia.","","Y"
"800","SUP478-54","SUP478-54","SU","MIDNORTH",1992-10-29,"D","Day","CANTY P.D. Peter | HEARD L.M.B. Lee","present but not counted","","5-50m",54,225710,6371259,-32.76239,138.07213,"verified","Avellinia festucoides","GRAMINEAE","Avellinia","","","Approx 1.2 km from Blue Gum Flat (Mt Remarkable NP).","Mount Remarkable (NP)","N"
"801","OPP557186-15","OPP557186-15","OP","MLR BIOFUND RESTORATION PROJECT",2014-09-10,"D","Day","CROFT S.J. Sonia | CROFT T.S. Tim","present but not counted","","51-100m",54,298273,6132231,-34.93236,138.79134,"verified","Acrotriche serrulata","EPACRIDACEAE","Cushion Ground-berry","","","","","Y"
"802","OPP498357-1","OPP498357-1","OP","SAMDB NRMB PEST OPS",2011-07-13,"D","Day","VIGAR S. Steve","present but not counted","","5-50m",54,413136,6103527,-35.20751,140.04568,"verified","Marrubium vulgare","LABIATAE","Horehound","DENSITY = 11 - 50 percent.SITE STATUS = Active.Source = Mallee & Coorong.","","","","N"
"803","OPP798960-22","OPP798960-22","OP","BDBSA RESERVES DATABASE",1992-04-28,"D","Day","CARPENTER G.A. Graham | CROFT T.S. Tim","present but not counted","","1-10km",53,506449,6376317,-32.75098,135.06884,"verified","Amyema melaleucae","LORANTHACEAE","Tea-tree Mistletoe","","**Birds** Bluebreasted FairywrenChestnut QuailthrushMalleefowl (old mound) Southern WhitefaceChestnut-rumped ThornbillJackyWinter recored 28/4/92 Suitable for Rufous Treecreeper W-W Chough**Environmental Association** 9% (Wirrula = 4.3.24)**Hundred","CONDADA : 2 14. 2 blocks separated only by an unmade government road.","878 (HA)","Y"
"804","SUP15755-6","SUP15755-6","SU","COASTAL DUNE & CLIFFTOP",1997-09-19,"D","Day","FOTHERINGHAM D.G. Doug | SCHUTZ S.C. Sandra","present but not counted","","5-50m",53,673908,6107933,-35.1565,136.90933,"verified","Cassytha glabella f. dispar","LAURACEAE","Slender Dodder-laurel","","","South of Gym Beach.","Innes (NP)","Y"
"805","RVPO60888-260467","RVPO60888-260467","RV","",2002-10-10,"D","Day","PLAYFAIR R.M. Roger | HORGAN M.A. Melissa","present but not counted","","101-250m",54,299219,6371331,-32.77762697,138.8562493,"verification required","Hordeum glaucum","GRAMINEAE","Blue Barley-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland / Herbland dominated by alien species"," RD 5.6 km NNE of Barra Hill (summit)","","N"
"806","OPP176426-1509936-AD143564","OPP176426-1509936-AD143564","OP","MISC. OPPORTUNE RECORDS",2002-01-16,"D","Day","LANG P.J. Peter","present but not counted","AD143564","5-50m",54,288833,6126940,-34.97811,138.68672,"verified","Ixodia achillaeoides ssp. alata","COMPOSITAE","Hills Daisy","","Track margin. Eucalyptus obliqua Low Open Forest.","Cleland Conservation Park Mireen track E of Eagle-on-the-Hill.","","Y"
"807","SUP503792-16","SUP503792-16","SU","GRASSLANDS - LWR NORTH",2012-10-24,"D","Day","SHACKLEY A. Adrian | ALLANSON A Andrew | KUYS J. Janet","present but not counted","","5-50m",54,288148,6164138,-34.6428,138.6886,"verified","Conyza bonariensis","COMPOSITAE","Flax-leaf Fleabane","No voucher.","","","","N"
"808","OPP655287-2","OPP655287-2","OP","CLLMM EMERGENT AQUATIC VEG MAPPING",2014-05-01,"M","Month","NICOL J. Jason | STRAWBRIDGE A. Aaron | GEHRIG S. Susan","present but not counted","","251-500m",54,320459,6081371,-35.39487,139.02305,"verified","Phragmites australis","GRAMINEAE","Common Reed","Species was recorded at a density of 90% along length of 800 m transect (approx. length)","","Shoreline of Lake Alexandrina","","Y"
"809","RVPO64072-274734","RVPO64072-274734","RV","",2002-11-25,"D","Day","PLAYFAIR R.M. Roger | BENNETT F.J. Fiona","present but not counted","","251-500m",53,737298,6383187,-32.66350479,137.5303289,"verification required","Carthamus lanatus","COMPOSITAE","Saffron Thistle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia papyrocarpa Very Low Woodland","Lincoln HWY 4.7 km NNW of Simmons Hill (summit)","","N"
"810","OPP800831-120","OPP800831-120","OP","BDBSA RESERVES DATABASE",1998-01-01,"Y","Year","MURFET D.E. Denzel","present but not counted","","501-1000m",54,427060,5962086,-36.48375,140.18571,"verified","Astroloma humifusum","EPACRIDACEAE","Cranberry Heath","","","","Jip Jip (CP)","Y"
"811","OPP57652-1801618","OPP57652-1801618","OP","PAMS - PARK ASSET DATABASE",2002-04-19,"D","Day","ROBERTSON M.A. Meg","present but not counted","","501-1000m",54,288815,6148358,-34.78512,138.69192,"verified","Austrostipa sp.","GRAMINEAE","Spear-grass"," ; Reserve type= RP; Reserve Code= 21; PAMS_PARK_ID= 244;  ; Braun-Blanquet= 2;  ;  ; Date_Stamp= 06-Aug-02;","","","Cobbler Creek (RP)","Y"
"812","OPP798834-64","OPP798834-64","OP","BDBSA RESERVES DATABASE",1991-03-07,"D","Day","CARPENTER G.A. Graham | CROFT T.S. Tim","present but not counted","","1-10km",53,633508,6294741,-33.4785,136.43693,"verified","Gahnia lanigera","CYPERACEAE","Black Grass Saw-sedge","","**Birds** Suitable for Blue-Breasted Fairy-Wren (V) & Painted Button-Quail (V)**Rem** Hd = 8% Messenger Environmental association (4.3.17) 16%","CAMPOONA : 24","877 (HA)","Y"
"813","OPP798546-71","OPP798546-71","OP","BDBSA RESERVES DATABASE",1990-02-09,"D","Day","HODDER M.W. Mike | CROFT T.S. Tim","present but not counted","","1-10km",54,409844,6042171,-35.76037,140.00271,"verified","Eutaxia microphylla","LEGUMINOSAE","Common Eutaxia","","**Birds** Suitable for Malleefowl Painted Button-Quail plus 9 species rated uncommonE fasciculosa + E leucoxylon woodland possibly rare in South East**Rem** 23%(Lewis)Env Assoc=(Carcuma)(2.2.14)=37%","LEWIS : LOT 1 IN FP 15278 IN PT SEC RSA","533 (HA)","Y"
"814","SUP16329-12938","SUP16329-12938","SU","SANDY DESERT",1998-09-17,"D","Day","ROBINSON A.C. Tony","present but not counted","","51-100m",53,742659,7074702,-26.42728,137.43313,"verified","Ptilotus polystachyus var. polystachyus f. polystachyus (NC)","AMARANTHACEAE","Long-tails","","","Site is 5.4km east of Erabena / Rig Road Junction on the Rig Road. Pegs on the southern side of track approx 30m in. Site is broad undulating swale of Acacia ramulosa - Acacia ligulata - Scaevola - Salsola and Abutilon.","Munga-Thirri--Simpson Desert (CP)","Y"
"815","RVPU49280-60705","RVPU49280-60705","RV","",2001-12-13,"D","Day","DUNBAR K.R. Kelly | COOLING M.P. Marcus","present but not counted","","251-500m",54,343132,6089239,-35.32778644,139.2741095,"verification required","Halosarcia sp. (NC)","CHENOPODIACEAE","Samphire","Collected using the DEWNR Roadside Vegetation Survey Methodology","Nitraria billardierei Open shrubland","Strathalbyn to Wellington RD 1.7 km SSE of Grote Hill (summit)","","Y"
"816","SUP31481-283191","SUP31481-283191","SU","MARQUALPIE LAND SYSTEM",2008-09-25,"D","Day","NEAGLE N.R. Nick | KLUSKE G.M. Gavin","present but not counted","","5-50m",54,489134,7027184,-26.87699,140.8906,"verified","Nicotiana velutina","SOLANACEAE","Velvet Tobacco","","","","","Y"
"817","SUP3579-35","SUP3579-35","SU","MURRAY MALLEE",1990-07-24,"D","Day","GILLEN J.S. Jake | CANTY P.D. Peter","present but not counted","","5-50m",54,391538,6030678,-35.86212,139.79869,"verified","Leionema microphyllum","RUTACEAE","Limestone Phebalium","","","2.75 km SE from Mt Boothby.","Mount Boothby (CP)","Y"
"818","OPP721876-23","OPP721876-23","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2016-08-28,"D","Day","GREHN U Ute","present but not counted","","501-1000m",53,672671,6095208,-35.27139,136.89842,"verified","Eucalyptus diversifolia ssp. diversifolia","MYRTACEAE","Coastal White Mallee","","Numerous orchids especially on otherwise thinly vegetated ground underneath mallee","Inneston to wetland","Innes (NP)","Y"
"819","OPP865812-8","OPP865812-8","OP","EBS ECOLOGY - FLORA & FAUNA SURVEY SA",2008-04-06,"D","Day","HOW T.L. Travis","present but not counted","","5-50m",53,555227,6714908,-29.69469,135.57087,"verified","Salsola australis","CHENOPODIACEAE","Buckbush","","","","","Y"
"820","OPP355483-1792375","OPP355483-1792375","OP","KI THREATENED PLANT PROJECT",2002-09-07,"D","Day","TAYLOR D. David","present but not counted","","5-50m",53,734270,6036999,-35.78319,137.59196,"verified","Spyridium eriocephalum var. glabrisepalum","RHAMNACEAE","Macgillivray Spyridium","PLANTSNUM= 2; SUBPOP= C","","","Beyeria (CP)","Y"
"821","SUP23554-194500-AD176082","SUP23554-194500-AD176082","SU","EYRE PENINSULA FAUNA",2004-08-31,"D","Day","CANTY P.D. Peter | LANG P.J. Peter","present but not counted","AD176082","5-50m",53,553175,6242545,-33.95626,135.57551,"verified","Wurmbea dioica ssp. brevifolia","LILIACEAE","Early Nancy","Mauve-pink flower.","","Photopoint 10 m north of fence at WPT 031. (53/E553185/N6242523). Photopoint direction 10 degrees.","","Y"
"822","RVPO15840-64078","RVPO15840-64078","RV","",1998-12-22,"D","Day","O'CONNOR P.J. Patrick | MIBUS R. RAELENE","present but not counted","","251-500m",54,491038,6122790,-35.0375309,140.901738,"verification required","Asphodelus fistulosus","LILIACEAE","Onion Weed","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus socialis  / E. leptophylla Mallee with Melaleuca lanceolata +/- M. acuminata tall shrubland","Pinaroo to Loxton RD 7.4 km WSW of Boltons","","N"
"823","RVPU24520-22605","RVPU24520-22605","RV","",1999-11-26,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","101-250m",53,435269,6364188,-32.85849272,134.3081702,"verification required","Austrostipa sp.","GRAMINEAE","Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis Mallee","Flinders HWY 10.6 km WNW of Maryvale","","Y"
"824","SUP7421-7","SUP7421-7","SU","NULLARBOR",1984-04-05,"D","Day","CANTY P.D. Peter","present but not counted","","0-5m",52,507827,6497412,-31.65851,129.08256,"verified","Salsola australis","CHENOPODIACEAE","Buckbush","","","8 km SE from Border Village.","Nullarbor (WA)","Y"
"825","SUP1625-5","SUP1625-5","SU","WESTERN MURRAY FLATS",1992-04-27,"D","Day","HILL S.S. N/A | ADAMS G.R. Graham","present but not counted","","5-50m",54,363486,6180899,-34.50451,139.51295,"verified","Enchylaena tomentosa var.","CHENOPODIACEAE","Ruby Saltbush","","","Track not well defined 75 m from stoby pole no. 20 to point at which turn south - 45 m from pipeline road to track then another 45 m to the north east corner of quadrat.","1527 (HA)","Y"
"826","SUP13770-12","SUP13770-12","SU","HAPPY VALLEY DISTRICT COUNCIL",1994-10-10,"D","Day","ROBERTSON M.A. Meg","present but not counted","","51-100m",54,288172,6103478,-35.18936,138.67348,"verified","Hibbertia australis (NC)","DILLENIACEAE","Stalked Guinea-flower","","","Peter Creek Road. W from Kuitpo Forest Reserve (Knott Hill).","","Y"
"827","OPP800905-18","OPP800905-18","OP","BDBSA RESERVES DATABASE",1993-02-12,"D","Day","BYARD E.J. Liz | CROFT S.J. Sonia","present but not counted","","1-10km",53,648575,6249580,-33.88368,136.6066,"verified","Austrostipa sp.","GRAMINEAE","Spear-grass","","","5 km NE of Arno Bay.","1026 (HA)","Y"
"828","OPP539593-6","OPP539593-6","OP","SCIENTIFIC PERMIT DATA - APPROVED",2013-11-12,"D","Day","NICOL J. Jason","present but not counted","","5-50m",54,350287,6053158,-35.65408,139.34614,"verified","Cenchrus clandestinus","GRAMINEAE","Kikuyu","","","","","N"
"829","RVPO68597-300256","RVPO68597-300256","RV","",2003-09-17,"D","Day","MASON S.J. Sam | OBST C.S. Chris","present but not counted","","501-1000m",54,412884,6201387,-34.32512871,140.0530456,"verification required","Hordeum leporinum","GRAMINEAE","Wall Barley-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Moorook RD 3.4 km ESE of Holder Siding","","N"
"830","SUP16709-27446","SUP16709-27446","SU","NORTH  EASTERN EYRE PENINSULA",1998-11-13,"D","Day","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","present but not counted","","5-50m",53,709146,6282021,-33.58103,137.25353,"verified","Exocarpos aphyllus","SANTALACEAE","Leafless Cherry","","","350m south of bend in road north of samphire 40m into Myoporum platycarpum / Geijera linearifolia site - 1.65km from bend south.","","Y"
"831","OPP859765-13","OPP859765-13","OP","EXPERIMENTAL VEG MANAGEMENT AT MOKOTA CP",2002-11-19,"D","Day","PRESCOTT A.M. Ann","present but not counted","","5-50m",54,309621,6285296,-33.55503,138.94926,"verified","Asperula conferta","RUBIACEAE","Common Woodruff","Present in 1 of 50 subquadrats","","Mokota Conservation Park","Mokota (CP)","Y"
"832","OPP324866-1499581","OPP324866-1499581","OP","MLR GRID WEED SURVEYS (NPWSA)",1999-07-23,"D","Day","TE T. Thai","present but not counted","","101-250m",54,290722,6137478,-34.88355,138.71004,"verified","Hypochaeris glabra","COMPOSITAE","Smooth Cat's Ear","BRAUN_BLANQUET_DENSITY = 5","","598","Black Hill (CP)","N"
"833","OPP846430-133","OPP846430-133","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2019-02-08,"D","Day","PICKETT M.I. Marcus","Present but not counted","","251-500m",54,291700,6134050,-34.91464,138.71988,"verified","Tricoryne elatior","LILIACEAE","Yellow Rush-lily","NW corner","See other comments","Morialta Vineyards (Norton Summit Rd) FIMS ID 623 (1 km NW of Norton Summit)","","Y"
"834","SUP14025-23","SUP14025-23","SU","STONY DESERTS",1996-03-01,"D","Day","ARNOTT D.S. Dale | O'CONNOR P.J. Patrick","present but not counted","","51-100m",53,643220,6852110,-28.44969,136.46266,"verified","Streptoglossa adscendens","COMPOSITAE","Desert Daisy","","","6.8 km NNW from Four Hills Trig.","","Y"
"835","SUP16115-32688-AD99838073","SUP16115-32688-AD99838073","SU","ANANGU PITJANTJATJARA LANDS",1996-10-19,"D","Day","CANTY P.D. Peter | PILLMAN S.J. Stuart | LANG P.J. Peter","present but not counted","AD99838073","51-100m",52,586615,7009137,-27.03727,129.87327,"verified","Rhodanthe stricta","COMPOSITAE","Slender Everlasting","","","","","Y"
"836","OPP798920-129","OPP798920-129","OP","BDBSA RESERVES DATABASE",1991-07-17,"D","Day","BARRATT R.R. Rick | CARPENTER G.A. Graham","present but not counted","","1-10km",53,674020,6307376,-33.35877,136.87033,"verified","Melaleuca lanceolata","MYRTACEAE","Dryland Tea-tree","Name changed to binomial because subspecies thaeroides is not accepted. Original species number preserved.","**Birds** Crested Bellbird Brush Bronzewing Shy Hylacola Blue-breasted Fairy-wren Chestnut Quailthrush Tawny-crowned Honeyeater Jacky Winter all recorded suitable for Malleefowl Grey Currawong**Environmental Association** = 21% (Yalarna) & 16% (Me","GLYNN : 24 25 26 27. 2 areas separated only by a minor road reserve.","774 (HA)","Y"
"837","OPP427707-22","OPP427707-22","OP","VEG MONITORING DEEP CREEK CP",2009-06-08,"D","Day","ROCHE M. Maurice | ORMOND S. Sarah","present but not counted","","101-250m",54,254373,6054293,-35.62466,138.2878,"verified","Poa sp.","GRAMINEAE","Meadow-grass/Tussock-grass","","","200m west of locked gate at end of McGregor rd (boat harbour park boundary)","Deep Creek (CP)","Y"
"838","OPP726275-1","OPP726275-1","OP","CHANNEL COUNTRY PROJECT",2014-05-05,"D","Day","GILLEN J.S. Jake","present but not counted","","51-100m",54,300222,7048754,-26.66809,138.99253,"verified","Acacia salicina","LEGUMINOSAE","Willow Wattle","Plant life form code LB also present.","","Clifton Hills StationTepamimie WH. Transect bearing = 318 degrees.","","Y"
"839","OPP822055-1","OPP822055-1","OP","PIKE AND KATARAPKO TREE CONDITION",2018-03-28,"D","Day","WALSH R. Richard | FULTON C. Christopher","1","","5-50m",54,458543,6195771,-34.37861,140.54907,"verified","Acacia stenophylla","LEGUMINOSAE","River Cooba","","","Site recorded as: K39. Also referenced as Transect 62.","Murray River (NP)","Y"
"840","OPP799071-66","OPP799071-66","OP","BDBSA RESERVES DATABASE",1991-10-22,"D","Day","BARRATT R.R. Rick | CROFT T.S. Tim","present but not counted","","501-1000m",54,351276,6098153,-35.24869,139.36529,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","**Birds** Elegant ParrotPeaceful DoveSthn Scrub-RobinYellow-rumped Padalote all recorded 22/10/91 & also suitable for Striped H-E W-W Chough Brush BronzewingMallee RingneckPurple-gaped H-E**Environmental Association** 3% (Wood Hill = 2.3.13)**Hun","BRINKLEY : P78","693 (HA)","N"
"841","OPP399195-18","OPP399195-18","OP","MOKOTA CP VEGETATION MONITORING",2009-11-05,"D","Day","ROBERTSON M.A. Meg | O'MALLEY P. Pam","present but not counted","","5-50m",54,310989,6285972,-33.54918,138.96413,"verified","Crassula colligata ssp.","CRASSULACEAE","","Present in 6 subquadrats","","Mokota Conservation Park northeastern section off White Hill Road","Mokota (CP)","Y"
"842","OPP949804-8","OPP949804-8","OP","SCIENTIFIC PERMIT DATA - APPROVED",2014-02-12,"D","Day","ALLEN J.P. Jim","present but not counted","","0-5m",54,355600,6178606,-34.52411,139.42669,"verified","Senna artemisioides ssp. petiolaris","LEGUMINOSAE","","","","Yookamurra Wildlife Sanctuary","","Y"
"843","SUP6205-25-AD99248025","SUP6205-25-AD99248025","SU","TEMPERATE GRASSLANDS - WWF",1992-10-29,"D","Day","HYDE M.K. Michael","present but not counted","AD99248025","51-100m",54,312722,6338479,-33.07617,138.99366,"verified","Teucrium racemosum","LABIATAE","Grey Germander","","","10km NE from Terowie.","","Y"
"844","OPP850906-1","OPP850906-1","OP","KANGAROO ISLAND NARROW-LEAVED MALLEE TEC",2018-12-17,"D","Day","WIADROWSKI R. Rory","1","","0-5m",53,737720,6038040,-35.77298,137.62978,"verified","Asparagus declinatus","LILIACEAE","","","","Redbanks Road / Hog Bay Road intersection","","N"
"845","RVPO79629-356916","RVPO79629-356916","RV","",2004-07-16,"D","Day","POUND L.M. Leanne | OBST C.S. Chris","present but not counted","","501-1000m",54,389663,6165818,-34.64361683,139.7960803,"verification required","Dodonaea viscosa ssp. angustissima","SAPINDACEAE","Narrow-leaf Hop-bush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Dodonaea viscosa ssp. angustissima +/- Acacia nyssophylla +/- Senna artemisioides ssp. petiolaris Shrubland","Bakara Well RD 1.9 km ENE of Bakara","","Y"
"846","OPP591700-1","OPP591700-1","OP","DEFEATING THE WEED MENACE-ONGROUND WORKS",2014-08-28,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","1","","5-50m",54,384442,5982953,-36.29148,139.71312,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","treated with grasslan applied. Herbicide applied from helicopter","","","Coorong (NP)","N"
"847","OPP801405-5","OPP801405-5","OP","BDBSA RESERVES DATABASE",2002-08-05,"D","Day","CARPENTER G.A. Graham | SQUIRE E. Eva","present but not counted","","501-1000m",53,728961,6195621,-34.35547,137.48946,"verified","Hornungia procumbens","CRUCIFERAE","Oval Purse","","","","1293 (HA)","N"
"848","OPP496783-1","OPP496783-1","OP","SAMDB NRMB PEST OPS",2011-07-04,"D","Day","BALTUSSEN S. Steve","present but not counted","","5-50m",54,402803,6121844,-35.04143,139.93433,"verified","Cenchrus longispinus","GRAMINEAE","Spiny Burr-grass","DENSITY = 1 - 10 percent.SITE STATUS = Active.Source = Mallee & Coorong.","","","","N"
"849","OPP799290-102","OPP799290-102","OP","BDBSA RESERVES DATABASE",1994-11-01,"M","Month","DENDY T. Tim","present but not counted","","1-10km",54,389384,6008189,-36.06459,139.7717,"verified","Goodenia blackiana","GOODENIACEAE","Native Primrose","","","","Messent (CP)","Y"
"850","RVPO3897-14635","RVPO3897-14635","RV","",1997-12-03,"D","Day","CLARK P. Pat | CLARK E. Etta","present but not counted","","1-10km",54,293984,6167602,-34.61277282,138.7530711,"verification required","Avena sp.","GRAMINEAE","Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland dominated by exotic species","Gawler - Kersbrook RD 0.4 km ESE of Gawler South (suburb centre)","","N"
"851","RVPO74646-331384","RVPO74646-331384","RV","",2004-01-13,"D","Day","PLAYFAIR R.M. Roger","present but not counted","","501-1000m",54,322823,6176501,-34.53795256,139.0692919,"verification required","Brassica sp.","CRUCIFERAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis Open Forest","Angaston - Birdwood RD 3.5 km NNW of Mount McKenzie","","N"
"852","SUP13765-8","SUP13765-8","SU","HAPPY VALLEY DISTRICT COUNCIL",1994-11-21,"D","Day","ROBERTSON M.A. Meg","present but not counted","","51-100m",54,287572,6119648,-35.04355,138.67105,"verified","Bursaria spinosa ssp. spinosa","PITTOSPORACEAE","Sweet Bursaria","","","Woodcutters Unmade Road. 2 km N from Cherry Gardens. Quadrat located in triangular part of road reserve in unmade from track - cross drainge line and follow ridge to quadrat.","","Y"
"853","OPP421596-35","OPP421596-35","OP","FORESTRY SA FLORA AND FAUNA RECORDS",2010-10-12,"D","Day","PICKETT M.I. Marcus","present but not counted","","501-1000m",54,302780,6157233,-34.70794,138.84653,"verified","Pultenaea largiflorens","LEGUMINOSAE","Twiggy Bush-pea","Number observed 1-10","Veg type 1 - Eucalyptus goniocalyxmid open mallee forest to open forest / sparse low trees / ﾱ sparse low shrubs / low shrubs closed in places. Veg type 2 - E. goniocalyx ﾱ E. fasciculosa tall mallee woodland to mid open forest / sparse low trees / ﾱ sparse low shrubs / closed low shrubs / sparse l","KE6 29.8 HA Kersbrook NFR","Kersbrook (NF)","Y"
"854","RVPO63837-273505","RVPO63837-273505","RV","",2002-10-22,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","101-250m",54,468105,6212367,-34.22928389,140.653693,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa Mallee","Sturt HWY 3 km WSW of Old Calperum","","N"
"855","SUP1840-1","SUP1840-1","SU","SE COAST",1986-11-02,"D","Day","COPLEY P.B. Peter | CANTY P.D. Peter","present but not counted","","51-100m",54,424432,5848986,-37.50297,140.14504,"verified","Phragmites australis","GRAMINEAE","Common Reed","","","7.5 km NE from Cape Buffon.","","Y"
"856","OPP615608-1","OPP615608-1","OP","DEFEATING THE WEED MENACE-ONGROUND WORKS",2014-05-06,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","1","","5-50m",54,385252,5981312,-36.30637,139.7219,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","treated with grasslan applied. Herbicide applied from helicopter","","","Coorong (NP)","N"
"857","SUP29940-258583","SUP29940-258583","SU","BMA MLR GENERAL SVY",2007-08-11,"D","Day","CROFT S.J. Sonia | PRESCOTT A.M. Ann","present but not counted","","251-500m",54,241500,6054550,-35.61906,138.14589,"verified","Geranium retrorsum","GERANIACEAE","Grassland Geranium","","","GPS taken from approximate centre of property. Whole property surveyed as part of the Talisker-Cape Jervis precinct Project conducted by Ann Prescott and Sonia Croft.","247 (HA)","Y"
"858","RVPO56586-240954","RVPO56586-240954","RV","",2002-09-27,"D","Day","PRYDE C. A. Cathy | ANDERSON R.J. Bob","present but not counted","","251-500m",54,481552,5855113,-37.45064862,140.7914312,"verification required","Holcus lanatus","GRAMINEAE","Yorkshire Fog","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis Woodland","Wolseley to Mount Gambier RAIL 4.3 km NNE of Krongart","","N"
"859","OPP728622-85","OPP728622-85","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2017-05-26,"D","Day","PICKETT M.I. Marcus","present but not counted","","251-500m",54,296850,6129450,-34.95713,138.77509,"verified","Holcus lanatus","GRAMINEAE","Yorkshire Fog","","see other comments","Carey Gully - Boundary Drive (Private land) (2.7 km E of Uraidla)","","N"
"860","RVPO11482-43677","RVPO11482-43677","RV","",1998-11-19,"D","Day","CLARK P.D. Peter | BEVAN K. Kirsty","present but not counted","","1-10km",53,574448,6282777,-33.59213507,135.8023442,"verification required","Salvia verbenaca var.","LABIATAE","Wild Sage","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus socialis Mallee","Lock - Cowell RD 5.1 km ESE of Lock","","N"
"861","SUP619-17","SUP619-17","SU","EYRE PENINSULA (DEP 1977)",1978-01-26,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","",53,496129,6347671,-33.00939,134.95856,"verified","Eremophila crassifolia","MYOPORACEAE","Thick-leaf Emubush","","","45km W from Pygery.","273 (HA)","Y"
"862","SUP13367-2","SUP13367-2","SU","STONY DESERTS",1995-11-15,"D","Day","CANTY P.D. Peter | SPACKMAN S.L. Sarah","present but not counted","","51-100m",53,498030,7067460,-26.51338,134.98023,"verified","Atriplex incrassata","CHENOPODIACEAE","Oodnadatta Saltbush","","","8.8 km SSE from Top Camp Well.","","Y"
"863","OPP57429-1798742","OPP57429-1798742","OP","PAMS - PARK ASSET DATABASE",2001-11-02,"D","Day","QUARMBY J. Joe","present but not counted","","501-1000m",54,280825,6118850,-35.04929,138.59693,"verified","Gonocarpus elatus","HALORAGACEAE","Hill Raspwort","General Comment= Survey Point 161; Reserve type= RP; Reserve Code= 16; PAMS_PARK_ID= 239; Age class= mature; Braun-Blanquet= 2; Location= east;Location_C= b19; Date_Stamp= 24-Jan-02;","","","Sturt Gorge (RP)","Y"
"864","SUP9219-54","SUP9219-54","SU","REMNANT VEG OF STH FLEURIEU PENINSULA",1987-10-15,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","No entered",54,276912,6061148,-35.56826,138.53835,"verified","Goodenia ovata","GOODENIACEAE","Hop Goodenia","","","","","Y"
"865","RVPO57538-244986","RVPO57538-244986","RV","",2002-05-07,"D","Day","KUBISCH R.V. Ronald","present but not counted","","501-1000m",54,303299,6211156,-34.22209196,138.8646116,"verification required","Sonchus oleraceus (NC)","COMPOSITAE","Common Sow-thistle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia paradoxa  Open Shrubland","Hyde Dale RD 1.3 km WSW of Hamilton","","N"
"866","OPP799345-65","OPP799345-65","OP","BDBSA RESERVES DATABASE",1996-01-01,"Y","Year","CROFT T.S. Tim","present but not counted","","1-10km",54,395700,5972772,-36.38453,139.8371,"verified","Melaleuca halmaturorum","MYRTACEAE","Swamp Paper-bark","","","","Tilley Swamp (CP)","Y"
